"jrnID","desc","jrnTp","offsetAccID","nr","periodNumber","trDt","sourceID","accID","docRef","effDate","custSupID","invRef","bankAccNr","amount","vatID","vatDesc","vatPerc","vat_amount","vatToClaimAccID","vatToPayAccID","cs_custSupID","cs_custSupName","cs_taxRegistrationCountry","cs_custSupTp","cs_country","cs_website","cs_city","cs_bankAccNr","cs_bankIdCd","cs_telephone","cs_commerceNr","cs_streetname","cs_postalCode","cs_fax","cs_eMail","cs_taxRegIdent","cs_contact","accDesc","accTp","leadCode","leadDescription","leadReference","accountType","jrn_jrnID","jrn_desc","jrn_offsetAccID","jrn_bankAccNr","jrn_journaltype","file","fiscalYear","startDate","endDate","curCode","dateCreated","softwareDesc","companyIdent","companyName","taxRegistrationCountry","taxRegIdent","linesCount","totalDebit","totalCredit","effMonth","grootboek","dagboek"
"10","Kasboek","C","1000","1:1",1,"2016-02-15","Manual entry","0300",NA,"2016-02-15",NA,NA,NA,15000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gebouwen","B","11","Materiële vaste activa","BMvaBegVvp","Balans","10","Kasboek","1000",NA,"Kasboek","example.xaf","2016","2016-01-01","2016-12-31","EUR","2017-04-20","Exact Online","1","Toro Rosso BV","NL",NA,167,999954.06,999954.06,2,"0300 - Gebouwen","10 - Kasboek"
"10","Kasboek","C","1000","1:2",1,"2016-02-15","Manual entry","1000",NA,"2016-02-15",NA,NA,NA,-15000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kas","B","16","Liquide middelen","BLimKasKas","Balans","10","Kasboek","1000",NA,"Kasboek","example.xaf","2016","2016-01-01","2016-12-31","EUR","2017-04-20","Exact Online","1","Toro Rosso BV","NL",NA,167,999954.06,999954.06,2,"1000 - Kas","10 - Kasboek"
"10","Partij tweedehands trampolines - contant","C","1000","1:1",2,"2016-03-03","Manual entry","1000",NA,"2016-03-03","18",NA,NA,-15000,NA,NA,NA,NA,NA,NA,"18","Rakers Sport B.V.","NL","S","NL","www.rakerssport.nl","Amsterdam","0123456789",NA,"071  1234567","32032746","Willem de Zwijgerlaan 352","1055RD","1055RD","info@rakerssport.nl","info@rakerssport.nl","TH de Boer","Kas","B","16","Liquide middelen","BLimKasKas","Balans","10","Kasboek","1000",NA,"Kasboek","example.xaf","2016","2016-01-01","2016-12-31","EUR","2017-04-20","Exact Online","1","Toro Rosso BV","NL",NA,167,999954.06,999954.06,3,"1000 - Kas","10 - Kasboek"
"10","Partij tweedehands trampolines - contant","C","1000","1:2",2,"2016-03-03","Manual entry","1520",NA,"2016-03-03","18",NA,NA,2603.31,"2","BTW hoog tarief, exclusief","21.000",0,"1520","1500","18","Rakers Sport B.V.","NL","S","NL","www.rakerssport.nl","Amsterdam","0123456789",NA,"071  1234567","32032746","Willem de Zwijgerlaan 352","1055RD","1055RD","info@rakerssport.nl","info@rakerssport.nl","TH de Boer","Te vorderen BTW","B","22","Schulden","BVorBtwTtv","Balans","10","Kasboek","1000",NA,"Kasboek","example.xaf","2016","2016-01-01","2016-12-31","EUR","2017-04-20","Exact Online","1","Toro Rosso BV","NL",NA,167,999954.06,999954.06,3,"1520 - Te vorderen BTW","10 - Kasboek"
"10","Partij tweedehands trampolines - contant","C","1000","1:3",2,"2016-03-03","Manual entry","7320",NA,"2016-03-03","18",NA,NA,12396.69,"2","BTW hoog tarief, exclusief","21.000",2603.31,"1520","1500","18","Rakers Sport B.V.","NL","S","NL","www.rakerssport.nl","Amsterdam","0123456789",NA,"071  1234567","32032746","Willem de Zwijgerlaan 352","1055RD","1055RD","info@rakerssport.nl","info@rakerssport.nl","TH de Boer","Kostprijs verkopen outdoor sports","P","40","Kostprijs verkopen","WKprInhInh","Winst & Verlies","10","Kasboek","1000",NA,"Kasboek","example.xaf","2016","2016-01-01","2016-12-31","EUR","2017-04-20","Exact Online","1","Toro Rosso BV","NL",NA,167,999954.06,999954.06,3,"7320 - Kostprijs verkopen outdoor sports","10 - Kasboek"
"10","testboeking negatieve kas","C","1000","1:1",2,"2016-03-26","Manual entry","1000",NA,"2016-03-26","18",NA,NA,-35000,"2","BTW hoog tarief, exclusief","21.000",2603.31,"1520","1500","18","Rakers Sport B.V.","NL","S","NL","www.rakerssport.nl","Amsterdam","0123456789",NA,"071  1234567","32032746","Willem de Zwijgerlaan 352","1055RD","1055RD","info@rakerssport.nl","info@rakerssport.nl","TH de Boer","Kas","B","16","Liquide middelen","BLimKasKas","Balans","10","Kasboek","1000",NA,"Kasboek","example.xaf","2016","2016-01-01","2016-12-31","EUR","2017-04-20","Exact Online","1","Toro Rosso BV","NL",NA,167,999954.06,999954.06,3,"1000 - Kas","10 - Kasboek"
"10","testboeking negatieve kas","C","1000","1:2",2,"2016-03-26","Manual entry","8000",NA,"2016-03-26","18",NA,NA,35000,"2","BTW hoog tarief, exclusief","21.000",2603.31,"1520","1500","18","Rakers Sport B.V.","NL","S","NL","www.rakerssport.nl","Amsterdam","0123456789",NA,"071  1234567","32032746","Willem de Zwijgerlaan 352","1055RD","1055RD","info@rakerssport.nl","info@rakerssport.nl","TH de Boer","Omzet binnenland hoog tarief","P","30","Omzet","WOmzNohOle","Winst & Verlies","10","Kasboek","1000",NA,"Kasboek","example.xaf","2016","2016-01-01","2016-12-31","EUR","2017-04-20","Exact Online","1","Toro Rosso BV","NL",NA,167,999954.06,999954.06,3,"8000 - Omzet binnenland hoog tarief","10 - Kasboek"
"10","nieuwe keuken","C","1000","1:1",4,"2016-04-13","Manual entry","1000",NA,"2016-04-13","18",NA,NA,-7500,"2","BTW hoog tarief, exclusief","21.000",2603.31,"1520","1500","18","Rakers Sport B.V.","NL","S","NL","www.rakerssport.nl","Amsterdam","0123456789",NA,"071  1234567","32032746","Willem de Zwijgerlaan 352","1055RD","1055RD","info@rakerssport.nl","info@rakerssport.nl","TH de Boer","Kas","B","16","Liquide middelen","BLimKasKas","Balans","10","Kasboek","1000",NA,"Kasboek","example.xaf","2016","2016-01-01","2016-12-31","EUR","2017-04-20","Exact Online","1","Toro Rosso BV","NL",NA,167,999954.06,999954.06,4,"1000 - Kas","10 - Kasboek"
"10","nieuwe keuken","C","1000","1:2",4,"2016-04-13","Manual entry","7100",NA,"2016-04-13","18",NA,NA,7500,"2","BTW hoog tarief, exclusief","21.000",2603.31,"1520","1500","18","Rakers Sport B.V.","NL","S","NL","www.rakerssport.nl","Amsterdam","0123456789",NA,"071  1234567","32032746","Willem de Zwijgerlaan 352","1055RD","1055RD","info@rakerssport.nl","info@rakerssport.nl","TH de Boer","Inkoopkosten","P","40","Kostprijs verkopen","WKprInhInh","Winst & Verlies","10","Kasboek","1000",NA,"Kasboek","example.xaf","2016","2016-01-01","2016-12-31","EUR","2017-04-20","Exact Online","1","Toro Rosso BV","NL",NA,167,999954.06,999954.06,4,"7100 - Inkoopkosten","10 - Kasboek"
"10","witwassen drugsgeld","C","1000","1:1",5,"2016-05-05","Manual entry","1000",NA,"2016-05-05","18",NA,NA,4000,"2","BTW hoog tarief, exclusief","21.000",2603.31,"1520","1500","18","Rakers Sport B.V.","NL","S","NL","www.rakerssport.nl","Amsterdam","0123456789",NA,"071  1234567","32032746","Willem de Zwijgerlaan 352","1055RD","1055RD","info@rakerssport.nl","info@rakerssport.nl","TH de Boer","Kas","B","16","Liquide middelen","BLimKasKas","Balans","10","Kasboek","1000",NA,"Kasboek","example.xaf","2016","2016-01-01","2016-12-31","EUR","2017-04-20","Exact Online","1","Toro Rosso BV","NL",NA,167,999954.06,999954.06,5,"1000 - Kas","10 - Kasboek"
"10","witwassen drugsgeld","C","1000","1:2",5,"2016-05-05","Manual entry","8010",NA,"2016-05-05","18",NA,NA,-4000,"2","BTW hoog tarief, exclusief","21.000",2603.31,"1520","1500","18","Rakers Sport B.V.","NL","S","NL","www.rakerssport.nl","Amsterdam","0123456789",NA,"071  1234567","32032746","Willem de Zwijgerlaan 352","1055RD","1055RD","info@rakerssport.nl","info@rakerssport.nl","TH de Boer","Omzet binnenland laag tarief","P","30","Omzet","WOmzNohOli","Winst & Verlies","10","Kasboek","1000",NA,"Kasboek","example.xaf","2016","2016-01-01","2016-12-31","EUR","2017-04-20","Exact Online","1","Toro Rosso BV","NL",NA,167,999954.06,999954.06,5,"8010 - Omzet binnenland laag tarief","10 - Kasboek"
"10","nachtclub","C","1000","1:1",5,"2016-05-05","Manual entry","1000",NA,"2016-05-05","18",NA,NA,7500,"2","BTW hoog tarief, exclusief","21.000",2603.31,"1520","1500","18","Rakers Sport B.V.","NL","S","NL","www.rakerssport.nl","Amsterdam","0123456789",NA,"071  1234567","32032746","Willem de Zwijgerlaan 352","1055RD","1055RD","info@rakerssport.nl","info@rakerssport.nl","TH de Boer","Kas","B","16","Liquide middelen","BLimKasKas","Balans","10","Kasboek","1000",NA,"Kasboek","example.xaf","2016","2016-01-01","2016-12-31","EUR","2017-04-20","Exact Online","1","Toro Rosso BV","NL",NA,167,999954.06,999954.06,5,"1000 - Kas","10 - Kasboek"
"10","nachtclub","C","1000","1:2",5,"2016-05-05","Manual entry","4901",NA,"2016-05-05","18",NA,NA,-7500,"2","BTW hoog tarief, exclusief","21.000",2603.31,"1520","1500","18","Rakers Sport B.V.","NL","S","NL","www.rakerssport.nl","Amsterdam","0123456789",NA,"071  1234567","32032746","Willem de Zwijgerlaan 352","1055RD","1055RD","info@rakerssport.nl","info@rakerssport.nl","TH de Boer","Diverse personeelsbeloningen","P","41","Personeelskosten","WPerOvpOvp","Winst & Verlies","10","Kasboek","1000",NA,"Kasboek","example.xaf","2016","2016-01-01","2016-12-31","EUR","2017-04-20","Exact Online","1","Toro Rosso BV","NL",NA,167,999954.06,999954.06,5,"4901 - Diverse personeelsbeloningen","10 - Kasboek"
"10","Dom Perignon 1995 “White Gold Jeroboam”","C","1000","2:1",5,"2016-05-05","Manual entry","1000",NA,"2016-05-05","18",NA,NA,4840,"2","BTW hoog tarief, exclusief","21.000",2603.31,"1520","1500","18","Rakers Sport B.V.","NL","S","NL","www.rakerssport.nl","Amsterdam","0123456789",NA,"071  1234567","32032746","Willem de Zwijgerlaan 352","1055RD","1055RD","info@rakerssport.nl","info@rakerssport.nl","TH de Boer","Kas","B","16","Liquide middelen","BLimKasKas","Balans","10","Kasboek","1000",NA,"Kasboek","example.xaf","2016","2016-01-01","2016-12-31","EUR","2017-04-20","Exact Online","1","Toro Rosso BV","NL",NA,167,999954.06,999954.06,5,"1000 - Kas","10 - Kasboek"
"10","Dom Perignon 1995 “White Gold Jeroboam”","C","1000","2:2",5,"2016-05-05","Manual entry","1520",NA,"2016-05-05","18",NA,NA,-840,"2","BTW hoog tarief, exclusief","21.000",0,"1520","1500","18","Rakers Sport B.V.","NL","S","NL","www.rakerssport.nl","Amsterdam","0123456789",NA,"071  1234567","32032746","Willem de Zwijgerlaan 352","1055RD","1055RD","info@rakerssport.nl","info@rakerssport.nl","TH de Boer","Te vorderen BTW","B","22","Schulden","BVorBtwTtv","Balans","10","Kasboek","1000",NA,"Kasboek","example.xaf","2016","2016-01-01","2016-12-31","EUR","2017-04-20","Exact Online","1","Toro Rosso BV","NL",NA,167,999954.06,999954.06,5,"1520 - Te vorderen BTW","10 - Kasboek"
"10","Dom Perignon 1995 “White Gold Jeroboam”","C","1000","2:3",5,"2016-05-05","Manual entry","4900",NA,"2016-05-05","18",NA,NA,-4000,"2","BTW hoog tarief, exclusief","21.000",-840,"1520","1500","18","Rakers Sport B.V.","NL","S","NL","www.rakerssport.nl","Amsterdam","0123456789",NA,"071  1234567","32032746","Willem de Zwijgerlaan 352","1055RD","1055RD","info@rakerssport.nl","info@rakerssport.nl","TH de Boer","Werkkostenregeling","P","41","Personeelskosten","WPerWkfOwr","Winst & Verlies","10","Kasboek","1000",NA,"Kasboek","example.xaf","2016","2016-01-01","2016-12-31","EUR","2017-04-20","Exact Online","1","Toro Rosso BV","NL",NA,167,999954.06,999954.06,5,"4900 - Werkkostenregeling","10 - Kasboek"
"10","Dom Perignon 1995 “White Gold Jeroboam”","C","1000","1:1",6,"2016-06-03","Manual entry","1000",NA,"2016-06-03","18",NA,NA,10000,"2","BTW hoog tarief, exclusief","21.000",-840,"1520","1500","18","Rakers Sport B.V.","NL","S","NL","www.rakerssport.nl","Amsterdam","0123456789",NA,"071  1234567","32032746","Willem de Zwijgerlaan 352","1055RD","1055RD","info@rakerssport.nl","info@rakerssport.nl","TH de Boer","Kas","B","16","Liquide middelen","BLimKasKas","Balans","10","Kasboek","1000",NA,"Kasboek","example.xaf","2016","2016-01-01","2016-12-31","EUR","2017-04-20","Exact Online","1","Toro Rosso BV","NL",NA,167,999954.06,999954.06,6,"1000 - Kas","10 - Kasboek"
"10","Dom Perignon 1995 “White Gold Jeroboam”","C","1000","1:2",6,"2016-06-03","Manual entry","1500",NA,"2016-06-03","18",NA,NA,-1735.54,"2","BTW hoog tarief, exclusief","21.000",0,"1520","1500","18","Rakers Sport B.V.","NL","S","NL","www.rakerssport.nl","Amsterdam","0123456789",NA,"071  1234567","32032746","Willem de Zwijgerlaan 352","1055RD","1055RD","info@rakerssport.nl","info@rakerssport.nl","TH de Boer","Af te dragen BTW hoog","B","22","Schulden","BVorBtwTtv","Balans","10","Kasboek","1000",NA,"Kasboek","example.xaf","2016","2016-01-01","2016-12-31","EUR","2017-04-20","Exact Online","1","Toro Rosso BV","NL",NA,167,999954.06,999954.06,6,"1500 - Af te dragen BTW hoog","10 - Kasboek"
"10","Dom Perignon 1995 “White Gold Jeroboam”","C","1000","1:3",6,"2016-06-03","Manual entry","8000",NA,"2016-06-03","18",NA,NA,-8264.46,"2","BTW hoog tarief, exclusief","21.000",-1735.54,"1520","1500","18","Rakers Sport B.V.","NL","S","NL","www.rakerssport.nl","Amsterdam","0123456789",NA,"071  1234567","32032746","Willem de Zwijgerlaan 352","1055RD","1055RD","info@rakerssport.nl","info@rakerssport.nl","TH de Boer","Omzet binnenland hoog tarief","P","30","Omzet","WOmzNohOle","Winst & Verlies","10","Kasboek","1000",NA,"Kasboek","example.xaf","2016","2016-01-01","2016-12-31","EUR","2017-04-20","Exact Online","1","Toro Rosso BV","NL",NA,167,999954.06,999954.06,6,"8000 - Omzet binnenland hoog tarief","10 - Kasboek"
"10","Dom Perignon 1995 “White Gold Jeroboam”","C","1000","1:1",7,"2016-07-24","Manual entry","1000",NA,"2016-07-24","18",NA,NA,10350,"2","BTW hoog tarief, exclusief","21.000",-1735.54,"1520","1500","18","Rakers Sport B.V.","NL","S","NL","www.rakerssport.nl","Amsterdam","0123456789",NA,"071  1234567","32032746","Willem de Zwijgerlaan 352","1055RD","1055RD","info@rakerssport.nl","info@rakerssport.nl","TH de Boer","Kas","B","16","Liquide middelen","BLimKasKas","Balans","10","Kasboek","1000",NA,"Kasboek","example.xaf","2016","2016-01-01","2016-12-31","EUR","2017-04-20","Exact Online","1","Toro Rosso BV","NL",NA,167,999954.06,999954.06,7,"1000 - Kas","10 - Kasboek"
"10","Dom Perignon 1995 “White Gold Jeroboam”","C","1000","1:2",7,"2016-07-24","Manual entry","1500",NA,"2016-07-24","18",NA,NA,-1796.28,"2","BTW hoog tarief, exclusief","21.000",0,"1520","1500","18","Rakers Sport B.V.","NL","S","NL","www.rakerssport.nl","Amsterdam","0123456789",NA,"071  1234567","32032746","Willem de Zwijgerlaan 352","1055RD","1055RD","info@rakerssport.nl","info@rakerssport.nl","TH de Boer","Af te dragen BTW hoog","B","22","Schulden","BVorBtwTtv","Balans","10","Kasboek","1000",NA,"Kasboek","example.xaf","2016","2016-01-01","2016-12-31","EUR","2017-04-20","Exact Online","1","Toro Rosso BV","NL",NA,167,999954.06,999954.06,7,"1500 - Af te dragen BTW hoog","10 - Kasboek"
"10","Dom Perignon 1995 “White Gold Jeroboam”","C","1000","1:3",7,"2016-07-24","Manual entry","4901",NA,"2016-07-24","18",NA,NA,-8553.72,"2","BTW hoog tarief, exclusief","21.000",-1796.28,"1520","1500","18","Rakers Sport B.V.","NL","S","NL","www.rakerssport.nl","Amsterdam","0123456789",NA,"071  1234567","32032746","Willem de Zwijgerlaan 352","1055RD","1055RD","info@rakerssport.nl","info@rakerssport.nl","TH de Boer","Diverse personeelsbeloningen","P","41","Personeelskosten","WPerOvpOvp","Winst & Verlies","10","Kasboek","1000",NA,"Kasboek","example.xaf","2016","2016-01-01","2016-12-31","EUR","2017-04-20","Exact Online","1","Toro Rosso BV","NL",NA,167,999954.06,999954.06,7,"4901 - Diverse personeelsbeloningen","10 - Kasboek"
"10","Dom Perignon 1995 “White Gold Jeroboam”","C","1000","1:1",10,"2016-10-31","Manual entry","1000",NA,"2016-10-31","18",NA,NA,1452,"2","BTW hoog tarief, exclusief","21.000",-1796.28,"1520","1500","18","Rakers Sport B.V.","NL","S","NL","www.rakerssport.nl","Amsterdam","0123456789",NA,"071  1234567","32032746","Willem de Zwijgerlaan 352","1055RD","1055RD","info@rakerssport.nl","info@rakerssport.nl","TH de Boer","Kas","B","16","Liquide middelen","BLimKasKas","Balans","10","Kasboek","1000",NA,"Kasboek","example.xaf","2016","2016-01-01","2016-12-31","EUR","2017-04-20","Exact Online","1","Toro Rosso BV","NL",NA,167,999954.06,999954.06,10,"1000 - Kas","10 - Kasboek"
"10","Dom Perignon 1995 “White Gold Jeroboam”","C","1000","1:2",10,"2016-10-31","Manual entry","1520",NA,"2016-10-31","18",NA,NA,-252,"2","BTW hoog tarief, exclusief","21.000",0,"1520","1500","18","Rakers Sport B.V.","NL","S","NL","www.rakerssport.nl","Amsterdam","0123456789",NA,"071  1234567","32032746","Willem de Zwijgerlaan 352","1055RD","1055RD","info@rakerssport.nl","info@rakerssport.nl","TH de Boer","Te vorderen BTW","B","22","Schulden","BVorBtwTtv","Balans","10","Kasboek","1000",NA,"Kasboek","example.xaf","2016","2016-01-01","2016-12-31","EUR","2017-04-20","Exact Online","1","Toro Rosso BV","NL",NA,167,999954.06,999954.06,10,"1520 - Te vorderen BTW","10 - Kasboek"
"10","Dom Perignon 1995 “White Gold Jeroboam”","C","1000","1:3",10,"2016-10-31","Manual entry","4900",NA,"2016-10-31","18",NA,NA,-1200,"2","BTW hoog tarief, exclusief","21.000",-252,"1520","1500","18","Rakers Sport B.V.","NL","S","NL","www.rakerssport.nl","Amsterdam","0123456789",NA,"071  1234567","32032746","Willem de Zwijgerlaan 352","1055RD","1055RD","info@rakerssport.nl","info@rakerssport.nl","TH de Boer","Werkkostenregeling","P","41","Personeelskosten","WPerWkfOwr","Winst & Verlies","10","Kasboek","1000",NA,"Kasboek","example.xaf","2016","2016-01-01","2016-12-31","EUR","2017-04-20","Exact Online","1","Toro Rosso BV","NL",NA,167,999954.06,999954.06,10,"4900 - Werkkostenregeling","10 - Kasboek"
